id,이름,소속 국가,통솔,무력,지력,정치
1001,가후,위,88,48,97,85
1002,곽가,위,84,15,96,84
1003,곽회,위,84,78,82,77
1004,관구검,위,78,74,55,56
1005,등애,위,93,87,89,81
1006,만총,위,85,64,82,84
1007,방덕,위,89,94,75,44
1008,사마사,위,79,64,88,82
1009,사마소,위,76,57,87,88
1010,사마의,위,97,63,98,91
1011,서황,위,88,91,74,48
1012,순욱,위,62,14,95,99
1013,순유,위,73,26,94,88
1014,악진,위,80,85,56,51
1015,왕랑,위,47,35,79,81
1016,우금,위,84,77,74,57
1017,이전,위,78,77,79,74
1018,장료,위,94,92,78,58
1019,장합,위,89,89,73,57
1020,전위,위,72,95,35,29
1021,정욱,위,70,49,90,79
1022,제갈탄,위,72,72,76,75
1023,조비,위,70,71,83,86
1024,조상,위,39,33,30,66
1025,조식,위,33,22,81,70
1026,조예,위,72,52,82,82
1027,조인,위,89,86,63,47
1028,조조,위,99,72,92,91
1029,조진,위,83,75,74,73
1030,조창,위,83,89,40,35
1031,조홍,위,79,81,44,35
1032,조휴,위,74,75,62,56
1033,종회,위,83,50,91,78
1034,하후돈,위,89,91,62,72
1035,하후연,위,91,90,68,61
1036,학소,위,86,79,78,62
1037,허저,위,74,96,36,20
1038,화흠,위,33,33,82,83
1039,간옹,촉,20,32,75,71
1040,강유,촉,92,89,90,66
1041,관색,촉,74,88,56,47
1042,관우,촉,96,97,73,62
1043,관평,촉,80,84,72,60
1044,관흥,촉,76,86,67,58
1045,마대,촉,79,85,62,54
1046,마량,촉,53,23,88,91
1047,마속,촉,61,67,87,68
1048,마초,촉,91,96,44,26
1049,미축,촉,33,29,78,83
1050,방통,촉,86,34,97,85
1051,법정,촉,84,47,94,78
1052,서서,촉,87,64,93,80
1053,엄안,촉,80,81,73,66
1054,왕평,촉,82,78,74,58
1055,요화,촉,73,76,69,49
1056,위연,촉,86,89,71,49
1057,유봉,촉,75,79,44,50
1058,유비,촉,80,77,78,80
1059,유선,촉,34,19,30,35
1060,이엄,촉,81,80,76,74
1061,장비,촉,90,98,30,22
1062,장완,촉,78,34,84,93
1063,장포,촉,78,87,48,46
1064,제갈량,촉,98,38,100,95
1065,조운,촉,92,96,75,65
1066,주창,촉,68,84,42,33
1067,황충,촉,89,95,66,52
1068,감녕,오,92,93,76,18
1069,감택,오,43,49,83,86
1070,노숙,오,85,56,92,90
1071,능통,오,77,89,60,40
1072,동습,오,72,85,50,48
1073,반장,오,76,80,74,28
1074,서성,오,86,81,78,65
1075,손견,오,94,90,79,73
1076,손권,오,79,67,80,89
1077,손책,오,96,91,76,70
1078,여몽,오,93,81,89,78
1079,육손,오,94,69,95,87
1080,육항,오,91,63,87,85
1081,장소,오,33,3,84,97
1082,장흠,오,78,84,54,42
1083,정보,오,84,79,79,74
1084,정봉,오,81,80,75,55
1085,제갈각,오,72,47,90,80
1086,제갈근,오,75,34,81,89
1087,조무,오,70,71,66,53
1088,주연,오,79,69,71,60
1089,주유,오,95,71,96,86
1090,주태,오,82,88,48,38
1091,진무,오,72,84,44,41
1092,태사자,오,90,93,69,58
1093,한당,오,76,85,61,51
1094,황개,오,82,83,73,62
