촉 주요 장수,,,,,
id,이름,통솔,무력,지력,정치
1039,간옹,20,32,75,71
1040,강유,92,89,90,66
1041,관색,74,88,56,47
1042,관우,96,97,73,62
1043,관평,80,84,72,60
1044,관흥,76,86,67,58
1045,마대,79,85,62,54
1046,마량,53,23,88,91
1047,마속,61,67,87,68
1048,마초,91,96,44,26
1049,미축,33,29,78,83
1050,방통,86,34,97,85
1051,법정,84,47,94,78
1052,서서,87,64,93,80
1053,엄안,80,81,73,66
1054,왕평,82,78,74,58
1055,요화,73,76,69,49
1056,위연,86,89,71,49
1057,유봉,75,79,44,50
1058,유비,80,77,78,80
1059,유선,34,19,30,35
1060,이엄,81,80,76,74
1061,장비,90,98,30,22
1062,장완,78,34,84,93
1063,장포,78,87,48,46
1064,제갈량,98,38,100,95
1065,조운,92,96,75,65
1066,주창,68,84,42,33
1067,황충,89,95,66,52
