위 주요 장수,,,,,
id,이름,통솔,무력,지력,정치
1001,가후,88,48,97,85
1002,곽가,84,15,96,84
1003,곽회,84,78,82,77
1004,관구검,78,74,55,56
1005,등애,93,87,89,81
1006,만총,85,64,82,84
1007,방덕,89,94,75,44
1008,사마사,79,64,88,82
1009,사마소,76,57,87,88
1010,사마의,97,63,98,91
1011,서황,88,91,74,48
1012,순욱,62,14,95,99
1013,순유,73,26,94,88
1014,악진,80,85,56,51
1015,왕랑,47,35,79,81
1016,우금,84,77,74,57
1017,이전,78,77,79,74
1018,장료,94,92,78,58
1019,장합,89,89,73,57
1020,전위,72,95,35,29
1021,정욱,70,49,90,79
1022,제갈탄,72,72,76,75
1023,조비,70,71,83,86
1024,조상,39,33,30,66
1025,조식,33,22,81,70
1026,조예,72,52,82,82
1027,조인,89,86,63,47
1028,조조,99,72,92,91
1029,조진,83,75,74,73
1030,조창,83,89,40,35
1031,조홍,79,81,44,35
1032,조휴,74,75,62,56
1033,종회,83,50,91,78
1034,하후돈,89,91,62,72
1035,하후연,91,90,68,61
1036,학소,86,79,78,62
1037,허저,74,96,36,20
1038,화흠,33,33,82,83
