오 주요 장수,,,,,
id,이름,통솔,무력,지력,정치
1068,감녕,92,93,76,18
1069,감택,43,49,83,86
1070,노숙,85,56,92,90
1071,능통,77,89,60,40
1072,동습,72,85,50,48
1073,반장,76,80,74,28
1074,서성,86,81,78,65
1075,손견,94,90,79,73
1076,손권,79,67,80,89
1077,손책,96,91,76,70
1078,여몽,93,81,89,78
1079,육손,94,69,95,87
1080,육항,91,63,87,85
1081,장소,33,3,84,97
1082,장흠,78,84,54,42
1083,정보,84,79,79,74
1084,정봉,81,80,75,55
1085,제갈각,72,47,90,80
1086,제갈근,75,34,81,89
1087,조무,70,71,66,53
1088,주연,79,69,71,60
1089,주유,95,71,96,86
1090,주태,82,88,48,38
1091,진무,72,84,44,41
1092,태사자,90,93,69,58
1093,한당,76,85,61,51
1094,황개,82,83,73,62
